1000 15000
449 802 3438
802 1 5918
1 469 2207
469 678 3994
678 465 5651
465 402 3480
402 680 3551
680 912 3250
912 607 2792
607 125 4667
125 555 3162
555 759 5182
759 251 1685
251 989 2512
989 911 1185
911 390 6027
390 370 2216
370 938 677
938 498 3430
498 426 2229
426 990 6481
990 688 4849
688 358 5109
358 307 5180
307 865 5103
865 90 2788
90 137 6237
137 329 6438
329 162 5100
162 507 3125
507 248 1074
248 25 3880
25 827 1097
827 243 4651
243 737 4583
737 964 3174
964 609 2593
609 423 3864
423 159 5219
159 380 6207
380 12 2957
12 908 4517
908 253 3023
253 774 1593
774 410 5872
410 876 3542
876 901 3137
901 976 6786
976 548 864
548 541 5656
541 311 3265
311 472 4540
472 813 6233
813 778 2575
778 326 4323
326 328 3061
328 595 2735
595 457 5604
457 285 4346
285 312 2373
312 168 4808
168 214 5539
214 684 2798
684 497 4870
497 846 5812
846 830 3017
830 815 2800
815 84 1373
84 914 5150
914 506 2223
506 612 1858
612 769 5341
769 59 5899
59 699 2198
699 885 1224
885 489 1985
489 126 789
126 479 6601
479 806 423
806 337 2488
337 880 1791
880 779 4285
779 446 1032
446 899 6846
899 808 3239
808 500 2765
500 194 3832
194 509 2820
509 447 1903
447 729 6517
729 493 3294
493 583 1094
583 790 3452
790 957 5375
957 283 6938
283 282 2460
282 873 4606
873 755 6168
755 920 3034
920 35 2092
35 353 6979
353 926 591
926 535 4543
535 51 1912
51 505 2177
505 394 312
394 504 5775
504 910 5247
910 300 4893
300 153 3353
153 246 6877
246 27 1967
27 810 3059
810 287 1639
287 988 4928
988 661 3118
661 218 687
218 951 5107
951 727 5717
727 61 610
61 345 5068
345 935 1686
935 118 6440
118 11 5861
11 788 3098
788 352 3436
352 360 6278
360 87 5958
87 645 449
645 848 5120
848 405 1823
405 429 3335
429 20 3304
20 546 1786
546 201 1263
201 474 760
474 734 6483
734 708 903
708 181 1148
181 801 523
801 354 4529
354 403 3175
403 888 6694
888 186 1699
186 785 396
785 689 5266
689 227 2294
227 831 557
831 316 3085
316 874 2979
874 151 3207
151 589 4870
589 532 3783
532 948 3128
948 569 4492
569 192 3386
192 210 4120
210 232 848
232 265 3459
265 104 4004
104 641 4295
641 984 1390
984 895 1646
895 923 922
923 223 3469
223 415 3761
415 492 5150
492 611 1138
611 395 3935
395 519 5453
519 536 6230
536 224 4333
224 789 4340
789 710 5695
710 702 321
702 893 42
893 495 2385
495 180 2230
180 791 802
791 537 4290
537 41 1695
41 793 4204
793 197 1024
197 787 6719
787 65 2122
65 167 5211
167 376 1603
376 18 2509
18 157 2170
157 14 5489
14 812 6527
812 226 2158
226 278 4944
278 581 2994
581 261 4107
261 550 4515
550 816 4746
816 896 960
896 650 1667
650 796 3650
796 797 1661
797 819 1176
819 723 3434
723 691 3786
691 701 5830
701 621 4124
621 173 6070
173 204 2053
204 640 2555
640 592 1156
592 867 2393
867 135 836
135 50 6746
50 362 6977
362 763 6248
763 154 5999
154 378 1079
378 152 1286
152 606 796
606 700 1899
700 314 6580
314 667 2631
667 967 1307
967 228 3274
228 298 510
298 655 420
655 637 4817
637 92 5713
92 843 145
843 542 2428
542 203 2717
203 156 5516
156 98 1709
98 668 6719
668 552 5148
552 892 4259
892 39 6710
39 458 5585
458 250 2940
250 639 6581
639 294 3961
294 979 6831
979 918 1483
918 4 3175
4 317 5466
317 308 6237
308 604 6827
604 407 3613
407 391 1636
391 527 2353
527 980 6704
980 945 1911
945 111 445
111 856 126
856 424 6155
424 258 5229
258 179 2533
179 685 5277
685 86 1971
86 766 6012
766 897 1996
897 647 2395
647 673 1172
673 764 162
764 213 5947
213 460 1032
460 922 187
922 473 4169
473 94 1713
94 961 827
961 750 3760
750 596 1603
596 740 3250
740 165 119
165 428 2110
428 106 3248
106 319 5594
319 981 3100
981 199 1649
199 936 1237
936 158 507
158 526 2699
526 182 4201
182 147 4753
147 15 6136
15 528 1712
528 274 2591
274 696 4044
696 397 6670
397 747 76
747 878 12
878 88 1644
88 799 4873
799 982 6668
982 829 1392
829 131 3434
131 826 6373
826 817 1528
817 187 747
187 483 2374
483 8 2333
8 471 6923
471 576 3985
576 315 787
315 746 6590
746 484 6627
484 642 4114
642 854 4463
854 959 6528
959 451 188
451 941 588
941 263 6743
263 771 4898
771 37 6888
37 523 1871
523 608 5771
608 594 2977
594 128 6237
128 553 2827
553 675 5182
675 534 6391
534 256 3348
256 286 3044
286 501 3938
501 123 2957
123 281 3023
281 847 2097
847 853 900
853 643 4118
643 139 1095
139 803 299
803 929 80
929 62 3144
62 452 5935
452 289 1862
289 736 2107
736 593 2136
593 217 866
217 79 869
79 100 5848
100 942 6237
942 38 723
38 660 4266
660 751 4283
751 93 2742
93 76 1154
76 439 5701
439 894 321
894 260 2296
260 169 4626
169 634 1659
634 166 427
166 320 4924
320 10 4991
10 242 2215
242 962 3325
962 185 4219
185 821 4343
821 571 1811
571 34 4289
34 374 1688
374 400 5395
400 371 1039
371 334 3698
334 322 602
322 693 1511
693 164 3283
164 543 5352
543 617 3026
617 36 3777
36 792 5000
792 47 265
47 178 3948
178 958 5699
958 900 2792
900 613 5949
613 220 6471
220 53 1238
383 147 966
870 582 6300
879 843 6081
312 999 48320
771 769 2363
14 251 329
241 266 6001
215 280 3809
464 218 646
266 81 3495
408 374 487
11 156 3741
919 947 2393
449 246 6471
144 999 10420
390 620 3114
584 591 3330
309 656 4925
124 71 4454
60 484 1342
4 28 4848
0 835 36990
841 999 22220
391 599 5569
788 10 1191
674 783 2283
442 307 4585
711 303 1943
700 974 2561
634 466 96
270 395 3497
294 358 738
676 510 1863
765 181 1371
944 489 103
385 982 803
848 316 3815
614 533 5906
18 422 4150
786 654 820
349 758 5700
217 44 372
779 234 1953
0 79 16270
62 999 10890
107 81 5179
667 644 3538
369 773 6879
887 197 3095
423 8 828
182 878 816
579 276 425
745 91 799
31 261 609
223 515 2229
378 89 5806
42 999 4830
708 598 3938
608 41 4494
869 355 500
578 214 673
9 772 2614
581 999 45040
638 857 4829
482 76 612
823 832 4565
948 999 8150
730 652 3271
181 86 120
727 463 2714
385 871 4289
106 844 2091
877 999 30150
31 107 2029
494 893 1003
0 713 41000
960 421 2322
641 130 5043
338 589 794
523 824 3260
295 612 3587
621 827 3974
586 856 5307
671 483 4585
176 874 1908
548 567 3810
834 306 5024
356 437 5799
678 170 4187
950 587 1793
255 971 331
413 396 3122
180 802 793
0 333 42080
505 460 3580
550 136 3632
582 56 5767
516 932 2899
240 673 3403
160 505 5538
748 316 6350
662 5 29
517 473 5562
0 991 39660
437 778 4670
985 85 1443
698 999 25850
0 435 38100
196 419 2945
0 221 47910
592 15 121
0 717 43240
451 569 4044
429 867 5885
767 609 988
622 999 19790
461 421 2994
428 853 2561
864 998 2286
268 22 2648
519 980 6911
997 387 3829
207 459 6224
387 354 3721
419 311 4783
673 45 1319
735 996 895
458 46 2112
336 93 1515
233 702 5489
138 250 6500
633 476 4563
0 232 54070
769 49 6595
130 517 1120
326 233 1454
847 663 2420
197 754 4724
0 650 22290
25 952 5090
575 301 4578
485 65 703
865 237 2094
758 717 4973
667 812 4691
742 411 2146
939 168 4775
382 497 3779
859 291 6247
57 576 6269
418 182 6872
605 325 2112
177 74 6629
172 166 2456
139 828 6469
583 915 6115
368 351 395
938 309 1789
171 519 5815
606 357 4864
813 882 1738
59 865 2975
301 597 4311
818 843 3407
785 563 2890
381 663 3996
310 428 464
608 977 2133
533 125 6145
45 65 4971
922 278 177
269 478 4852
317 612 2221
901 999 16600
135 542 2518
619 533 195
412 100 5967
332 901 6934
261 390 2013
725 91 2924
609 121 4985
166 999 6210
695 116 6946
421 529 1493
609 81 2359
443 454 4202
101 736 1795
559 420 1733
209 640 818
464 239 6192
989 894 6945
24 890 4561
701 232 1350
56 228 727
624 810 3538
457 764 6010
18 385 4316
675 687 3528
892 519 446
479 908 505
680 597 1921
267 892 3424
574 187 3334
380 422 6125
322 217 290
992 289 6284
185 197 3901
739 131 1833
623 561 3618
105 661 1157
179 782 5849
849 671 6784
480 886 3722
303 87 5450
136 98 4259
393 79 5799
454 170 6068
441 990 3217
732 181 2665
915 402 3850
575 654 258
446 683 5577
207 817 2290
648 943 6238
953 731 2700
440 54 5942
441 488 2079
774 405 2708
662 951 6739
682 492 5676
751 327 3455
983 223 2953
0 941 60800
314 836 1268
496 379 6021
628 668 513
132 421 1020
219 154 3238
27 408 5214
374 224 6242
953 185 266
943 456 6247
646 850 5548
556 297 2808
745 944 5516
713 999 57790
671 934 2661
919 8 6284
674 633 2790
283 201 2356
455 231 1949
892 999 23100
392 95 220
894 572 3196
568 913 408
621 855 6746
178 272 6911
0 875 34130
273 534 6199
401 221 5223
375 536 1925
770 418 5374
824 37 4663
215 134 6521
946 571 4080
135 634 5976
169 74 1568
189 518 6406
0 652 26080
984 440 326
0 121 35890
614 371 2782
982 652 3191
395 989 3034
621 997 393
576 372 6057
888 835 2000
970 681 6235
50 944 3397
549 408 5867
851 627 148
859 787 6481
0 608 51820
644 639 6584
307 363 655
864 408 4374
456 837 5892
40 332 3701
334 308 1602
245 164 4265
110 981 3375
861 428 5828
828 745 1758
438 777 4783
526 53 2937
989 140 60
603 994 2827
789 796 3983
985 432 1027
511 81 4871
89 64 1382
822 999 14030
298 613 3816
602 929 1894
0 312 39930
626 851 2598
544 302 6155
420 64 4527
170 671 1112
706 519 2628
914 385 6860
661 833 337
883 623 6748
977 52 5334
820 999 27790
782 547 4839
233 534 930
414 999 53100
95 51 5276
23 156 4829
101 999 47430
254 525 3842
363 742 4894
376 999 9020
347 194 6216
638 544 2956
818 414 1785
560 670 4586
972 423 2130
321 791 4602
32 310 2006
861 378 1736
381 743 3116
277 431 6696
145 601 5326
715 248 5158
752 137 5003
122 140 1579
564 956 6614
114 296 5860
490 362 6208
0 329 36830
531 556 6393
345 106 6237
429 128 4873
352 523 1183
648 866 5110
89 656 107
265 820 944
663 970 492
258 123 1243
298 453 6443
723 961 5303
642 999 32530
648 706 3979
773 882 6023
0 302 50720
510 999 18630
902 285 5493
178 256 1304
227 761 152
279 391 4336
768 25 2580
446 817 1299
113 328 4703
89 120 6604
968 517 3307
938 951 3535
940 45 5311
927 90 6374
225 504 6743
484 148 5043
801 385 6663
0 595 12010
330 324 4454
224 347 1916
771 768 5568
59 314 1763
425 427 1237
713 917 1825
544 702 4586
214 453 2083
713 500 599
554 225 4824
199 255 6979
538 359 2179
61 465 4471
83 385 5461
32 598 3792
654 368 6746
381 525 3530
77 390 752
475 189 899
239 925 1724
358 974 4134
448 679 6022
669 518 3964
848 867 735
620 777 1389
354 971 1987
869 212 159
645 161 2554
504 263 4930
598 764 4030
294 489 2197
444 592 2006
652 69 3197
79 89 4593
246 393 6685
625 289 507
161 858 6956
407 999 17620
536 829 6846
207 92 6590
763 663 740
569 928 3903
400 613 1901
855 517 6852
95 311 2967
46 589 4630
115 999 47640
935 898 5505
698 302 1775
205 628 610
871 677 6896
939 90 213
794 329 813
796 16 211
0 69 21970
637 951 392
27 265 2934
890 321 3133
207 811 4594
368 492 1947
737 313 5635
770 523 4511
596 170 3475
664 899 3745
541 35 4087
119 509 721
291 292 3950
953 426 914
663 268 1431
358 805 6540
407 262 5602
795 250 2397
808 18 5666
624 428 719
626 430 2859
677 247 1126
40 198 4678
946 776 4153
720 196 2715
781 975 6617
776 415 430
808 79 3368
272 549 5517
864 474 2920
199 336 3240
615 689 5103
220 582 1526
923 847 4224
433 316 3434
340 12 72
615 226 4781
952 470 2066
718 376 6469
831 124 547
90 846 6022
831 422 5377
735 447 1149
326 100 5889
35 271 5770
356 999 38340
898 743 6122
182 318 3856
496 662 1612
624 819 2489
335 667 1058
395 883 4825
719 770 4354
561 565 242
586 79 1223
747 318 6781
540 210 31
0 206 62220
449 15 4947
758 235 6464
368 90 4000
805 249 4578
358 966 855
224 447 6120
384 519 4054
835 816 1330
812 384 6233
39 998 4360
107 119 4784
756 144 3319
453 999 22010
0 428 21870
0 30 55240
777 461 2348
159 994 3194
982 236 4276
526 271 2512
260 416 1174
833 871 5447
464 842 2242
916 342 1795
341 383 586
134 553 5095
359 580 4699
656 929 353
148 721 539
537 718 808
544 999 19910
844 700 4170
415 528 5329
685 763 5200
386 517 4626
772 66 5422
882 5 4168
186 780 2589
985 999 40920
526 550 6190
648 824 4021
844 999 25870
363 509 4910
809 273 4536
322 645 3537
732 584 5111
0 667 35150
348 787 5072
182 711 1272
332 635 3109
13 790 1226
832 842 9
157 640 4989
352 501 2272
478 875 3747
395 534 4912
246 999 37960
732 70 1371
841 191 6156
614 999 57180
380 627 1691
950 79 1067
183 481 1310
582 117 4690
257 54 1289
200 312 4694
899 677 6806
405 999 17630
809 505 4094
113 714 3246
100 999 22350
740 270 5119
380 752 2191
640 586 4529
222 999 45620
612 999 51520
84 71 5397
906 111 4128
81 12 6303
119 212 1179
75 831 4593
604 186 2556
817 95 1987
738 547 4006
0 218 44810
739 744 1427
984 491 1542
924 607 4502
710 145 782
884 946 2772
400 802 3469
122 803 6672
680 701 3959
7 999 26830
441 109 5887
227 44 6452
5 72 1603
329 859 1674
558 142 3803
919 992 571
976 156 3769
855 636 1805
359 659 2703
204 93 6979
983 888 6732
939 697 4959
113 591 5273
834 781 3802
840 25 1539
80 559 5283
83 46 6754
242 67 4174
449 104 2126
955 744 6955
164 963 796
277 153 997
84 785 4600
426 12 1052
248 586 1891
286 460 1076
257 485 984
415 818 5252
394 923 3933
957 801 4168
240 576 1982
212 214 1924
824 980 4497
512 423 797
338 999 40070
509 884 1389
0 518 2260
434 804 3580
510 680 2704
272 783 863
962 501 3854
214 421 5737
322 556 6697
699 171 4086
972 155 1430
575 276 3830
644 857 3183
151 275 1078
761 999 21680
284 865 4483
391 873 4147
294 469 3844
339 999 64890
67 266 6272
475 494 3058
346 425 1105
871 778 6062
595 843 3159
396 874 2686
622 222 3416
938 870 4224
990 189 2457
256 508 1328
843 994 374
910 503 4794
386 359 2404
678 503 2329
101 367 372
377 761 159
776 999 35180
359 657 2624
324 48 6536
69 698 488
0 635 45340
253 225 1381
853 993 5643
557 684 998
5 311 4466
317 15 6719
530 290 3611
476 898 2388
947 192 5571
876 990 508
399 999 68150
570 45 4538
192 644 3797
487 848 2911
596 839 6912
0 168 58690
359 507 2765
842 907 4146
902 839 1077
0 237 63260
991 299 6947
371 919 2372
0 415 52270
800 999 39490
0 142 66000
0 186 37430
660 341 589
153 962 3192
986 149 2212
48 212 5827
87 66 4541
0 752 4110
544 34 4531
99 986 2388
0 993 6280
685 950 5647
307 695 1383
23 529 499
545 370 4949
0 49 7500
444 972 3977
328 920 2199
822 546 2289
249 999 8900
231 999 11380
113 724 1202
579 693 641
573 245 1170
927 664 1773
376 813 6042
90 851 4821
29 516 3636
947 984 2074
639 393 4036
406 276 1530
282 86 3198
14 824 4346
433 134 4271
817 164 5694
105 309 1864
16 516 4032
929 377 4049
401 642 2390
601 156 4973
720 698 5988
245 694 5112
634 888 3128
820 450 3304
304 627 2336
498 660 3979
797 245 5186
848 335 2107
19 461 2161
344 438 6233
537 517 1239
486 22 6806
830 936 2056
983 874 3468
343 857 5664
152 239 5925
682 86 5522
185 183 1241
0 838 13760
0 892 11080
569 732 6470
773 431 4561
613 71 6815
318 320 1995
202 959 1410
843 228 1005
257 787 441
787 494 1685
297 19 4098
595 251 3634
696 778 1202
0 968 62650
386 345 5205
228 796 6775
55 412 165
181 374 6771
0 662 25630
88 682 200
139 254 4208
862 204 5890
598 467 1079
914 798 6344
600 513 240
258 820 991
288 2 6146
811 420 901
978 263 3055
944 87 4084
976 211 5375
776 637 6079
603 474 4477
51 150 771
525 734 1038
643 892 1794
74 463 411
488 129 3604
939 360 5962
524 537 3014
445 999 67630
896 217 1998
641 722 3498
413 478 2751
481 196 2717
0 516 20060
339 368 3808
55 362 3338
0 689 3590
223 972 1288
949 283 6749
241 991 3409
32 397 2471
789 965 3677
650 203 2087
725 144 1676
784 610 3382
569 642 4356
944 724 4545
488 273 1847
32 745 3564
629 291 4556
403 338 5803
954 784 5185
89 732 5952
216 574 2685
146 999 20620
820 358 4414
0 254 32660
948 609 6633
354 970 6148
905 828 2075
210 953 4893
516 660 2415
203 847 2103
881 421 2497
621 915 6287
834 532 5554
954 952 1502
116 788 2105
58 770 1398
337 842 3994
31 609 1568
125 188 2435
105 285 5826
85 66 645
0 614 64870
154 509 2397
941 610 2220
518 647 5164
922 410 6435
991 923 2992
0 917 45980
464 709 2785
910 404 4478
681 580 329
258 810 6254
966 248 5870
58 844 6680
0 845 47790
758 511 4893
121 145 6176
518 481 133
350 932 3326
115 805 5030
709 480 5813
946 983 1897
379 457 4626
519 182 5379
22 459 390
566 873 6704
537 485 5672
846 584 475
0 552 32110
837 266 921
378 994 744
319 111 759
380 102 3706
816 799 1588
913 999 40500
169 526 6148
0 373 51300
521 297 3079
878 999 7140
567 407 3053
0 605 47140
560 140 5582
576 453 4874
514 103 6452
960 533 2706
544 187 2933
573 795 465
493 296 4244
432 351 6995
0 82 33430
512 689 2843
880 606 2916
970 619 2353
291 435 6063
412 39 726
650 690 1387
421 999 67480
691 36 4325
346 134 5025
738 484 579
839 834 779
14 593 1637
757 999 63750
672 879 5681
919 389 6436
237 999 61360
268 126 4577
37 881 6132
400 793 4452
787 897 3066
110 945 2730
528 6 4166
181 547 2520
910 421 2774
214 177 4584
422 817 5499
332 149 4022
604 36 4981
685 468 5685
547 999 51810
36 256 5630
615 200 2264
845 406 4922
577 172 1487
887 859 3309
800 125 4160
48 876 4017
952 58 156
0 45 63950
0 344 62750
793 999 46410
980 637 4042
123 871 3942
643 109 4195
164 70 2425
139 859 1570
715 73 1207
376 806 2341
444 184 3858
76 161 898
348 234 6899
0 834 44740
584 523 1826
219 678 1097
232 461 6020
828 548 3854
373 761 5892
424 517 6950
298 568 1591
228 570 5214
672 528 4768
395 938 3211
957 12 5412
377 744 3074
114 18 4024
74 96 3028
126 106 3713
814 247 6523
61 529 5750
949 23 6787
881 56 6993
140 836 507
142 662 5479
523 999 62880
695 80 5025
413 553 239
89 328 6433
55 334 2010
554 212 3046
281 401 6831
493 574 5226
172 556 6991
0 3 44350
914 614 4563
102 461 2418
676 978 2231
101 662 4614
758 478 1408
677 655 6653
124 752 293
0 37 14250
954 775 6925
988 582 5430
100 816 292
3 392 2935
983 699 6839
866 242 3031
959 37 6411
619 999 25940
447 224 1123
275 966 1418
12 790 6024
271 619 2023
225 999 10470
386 764 3131
687 439 4851
564 326 3016
655 999 57220
241 763 6171
712 276 6646
588 4 2662
139 786 719
54 448 5079
744 657 3635
0 674 9110
527 659 1490
442 171 3054
133 178 6820
570 196 6358
455 376 3867
166 624 4920
156 322 5078
525 768 767
898 761 5196
467 202 1332
975 860 1345
101 204 3554
693 565 6141
167 655 6805
147 523 1248
549 370 6110
866 322 6636
903 939 5027
935 203 6059
401 769 3419
329 351 6878
195 44 4153
370 999 46790
206 127 5302
333 808 5069
60 122 5306
388 999 3550
862 421 1018
781 471 2956
394 68 3584
625 670 821
101 758 5022
0 362 59500
102 558 1152
101 70 4292
650 924 1422
34 444 3449
541 27 1530
956 576 3858
0 5 31470
966 442 4451
834 712 1817
480 688 1140
432 554 4609
836 448 6083
330 157 2061
779 109 3724
199 166 5210
387 834 4744
673 166 599
452 227 526
509 617 88
873 22 5109
